"bout","sid","sentence","has_foul_raw","has_foul","rule_score","rule_conf","rule_reasons_pos","rule_reasons_neg","time_str","round_mentioned","event"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",1,"Juliana Miller (126) vs.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,NA,"UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",2,"Ivana Petrovic (125.5) BETTING PREVIEW | SCOUTING REPORT | ODDS: Petrovic (-230), Miller (+190) Round 1 The opening bout of UFC Des Moines features two women looking to move to .500 in the UFC, but only one can succeed.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",3,"They go to work at a gesturre from referee Tyrone Roberts.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",4,"Petrovic is southpaw, Miller orthodox to start off, and they exchange low kicks in the opening moments.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",5,"Lots of handfighting early on as both women try and figure out the range.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",6,"A low kick from Petrovic scores hard, making Miller stumble.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",7,"Miller closes the distance and drives Petrovic to the fence, where she grabs underhooks and works to bring the fight to the canvas.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 1","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",8,"Petrovic overhooks with her left arm and punches the body with her right.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",9,"The Iowa crowd grows restive.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",10,"Petrovic reverses Miller into the cage.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 1","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",11,"Miller grabs a front headlock, tucking Petrovic's head under her left armpit.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",12,"Petrovic tries a single-leg, but Miller moves away from the fence and employs a nice snapdown to foil the attempt.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 1","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",13,"Ninety seconds to go in the round and the audience is definitely letting its displeasure be heard.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",14,"Petrovic gets a double-leg against the fence and hauls Miller down, aided by a guillotine attempt by the American.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 1","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",15,"Petrovic pops her head out of danger and starts punching.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",16,"Miller turns her back and turtles against the fence on her knees and elbows.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 1","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",17,"Petrovic lands a few more punches as Miller goes to her back.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",18,"The horn sounds.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",19,"Sherdog Scores Ben Duffy scores the round: 10-9 Petrovic Brian Knapp scores the round: 10-9 Petrovic Tyler Treese scores the round: 10-9 Petrovic (function (v,i) { let screenWidth = i.innerWidth; if (screenWidth <= 400) { document.getElementById('adViAi').style.display = 'none'; return; } var scp = v.createElement('script'), config = { ChannelID: '0nqr3w5ff', AdUnitType: '2', PublisherID: '256607409443141', PlacementID: 'pltU2JIgmaTXI9XW18z', DivID: '', IAB_Category: 'IAB17', Keywords: '', Language: 'en-us', BG_Color: '', Text_Color: '', Font: '', FontSize: '', }; scp.src='https://s.vi-serve.com/tagLoader.js'; scp.type = 'text/javascript'; scp.async = true; scp.onload = function() { i[btoa('video intelligence start')].init(config); }; (v.getElementsByTagName('head')[0] || v.documentElement.appendChild(v.createElement('head'))).appendChild(scp); })(document, window); Advertisement Round 2 Miller clinches quickly and shoves Petrovic to the fence.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 2","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",20,"The crowd immediately begins booing, but this time Miller uses a body lock and trip to dump the Norwegian to the mat within seconds.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",21,"Petrovic bridges, gets her hips out from under Miller and stands.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",22,"They go back to work in the center of the cage.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 2","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",23,"Petrovic uses her right jab to try and keep Miller at bay, wary of another clinch or takedown attempt.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",24,"She is successful for a few moments, but Miller takes advantage of a slow body kick to catch the leg, switch to a high body lock and dump Petrovic right back to the floor.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",25,"Petrovic tries to escape and Miller works toward taking her back.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",26,"They end up in an awkward position, almost spooning, but Miller manages to gain back control, sinking her hooks with 90 seconds to go.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",27,"Miller punches the head from back mount, as Petrovic squirms and tries to block the punches blind.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",28,"Miller tries for a rear-naked choke, but can't secure an arm around the neck.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",29,"With 30 seconds left in the round, Petrovic spins halfway into guard, but Miller holds on until the horn.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",30,"Sherdog Scores Ben Duffy scores the round: 10-9 Miller Brian Knapp scores the round: 10-9 Miller Tyler Treese scores the round: 10-9 Miller Round 3 It's any woman's fightâon our scorecards at leastâas the flyweight hopefuls come out for Round 3.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",31,"Miller clocks Petrovic with a glancing right hand.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",32,"Petrovic counters a lazy front kick with a two-piece upstairs.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",33,"Miller comes up short with a big right hook.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",34,"A minute and a half in, Miller feints, changes levels and shoots for a takedown.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",35,"She runs her foe to the cage, where Petrovic uses an underhook to haul Miller up off of her hips.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 3","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",36,"Petrovic reverses Miller into the chain-link and disengages, but eats a punch on the break.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",37,"They return to the center of the Octagon.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",38,"Miller takes advantage of a wild swing by Petrovic to take her back standing.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",39,"Miller hauls Petrovic to the canvas, where she works for a rear-naked choke.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",40,"She can't get it, and bails in favor of boxing her foe's ears with punches.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",41,"She goes for the neck again, settling for a neck crank, which looks uncomfortable but not close to ending the fight.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",42,"Miller is riding high and Petrovic tripods, trying to shake her over the top.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",43,"Miller holds on with her hooks, riding it out until the final horn.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",44,"Sherdog Scores Ben Duffy scores the round: 10-9 Miller (29-28 Miller) Brian Knapp scores the round: 10-9 Miller (29-28 Miller) Tyler Treese scores the round: 10-9 Miller (29-28 Miller) The Official Result Juliana Miller def.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFC-sandhagen-figueiredo-03-05-2025"
"Juliana Miller (126) vs. Ivana Petrovic (125.5)",45,"Ivana Petrovic via Unanimous Decision (29-28, 29-28, 29-28)",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFC-sandhagen-figueiredo-03-05-2025"
"Don'Tale Mayes (259) vs. Thomas Petersen (250)",1,"Don'Tale Mayes (259) vs.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,NA,"UFC-sandhagen-figueiredo-03-05-2025"
"Don'Tale Mayes (259) vs. Thomas Petersen (250)",2,"Thomas Petersen (250) BETTING PREVIEW | SCOUTING REPORT | ODDS: Petersen (-265), Mayes (+215) Round 1 The big men go to work at a word from referee Bruce Allen.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-sandhagen-figueiredo-03-05-2025"
"Don'Tale Mayes (259) vs. Thomas Petersen (250)",3,"Petersen is southpaw, Mayes orthodox, but it doesn't matter for long as Petersen shoots a fast single-leg within seconds, dragging Mayes to the mat at the base of the cage.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 1","UFC-sandhagen-figueiredo-03-05-2025"
"Don'Tale Mayes (259) vs. Thomas Petersen (250)",4,"Petersen sets up in guard but Mayes puts his back against the fence and stands up.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 1","UFC-sandhagen-figueiredo-03-05-2025"
"Don'Tale Mayes (259) vs. Thomas Petersen (250)",5,"Petersen moves to the back and hauls the bigger man back down for an easy mat return.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-sandhagen-figueiredo-03-05-2025"
"Don'Tale Mayes (259) vs. Thomas Petersen (250)",6,"Mayes stands once again, this time without benefit of the cage, and Petersen once again dumps him onto the floor, this time landing in side control.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 1","UFC-sandhagen-figueiredo-03-05-2025"
"Don'Tale Mayes (259) vs. Thomas Petersen (250)",7,"Petersen starts working on the far arm, looking for a far-side attack or maybe an arm-triangle choke, and Mayes turns away from him.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-sandhagen-figueiredo-03-05-2025"
"Don'Tale Mayes (259) vs. Thomas Petersen (250)",8,"Petersen adjusts, applies an arm-triangle and hops over to try and finish.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-sandhagen-figueiredo-03-05-2025"
"Don'Tale Mayes (259) vs. Thomas Petersen (250)",9,"Mayes defends, and after a few seconds, Petersen chooses to move to mount rather than keep squeezing on a choke that isn't there.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-sandhagen-figueiredo-03-05-2025"
"Don'Tale Mayes (259) vs. Thomas Petersen (250)",10,"Mayes regains one-quarter guard, then half guard.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-sandhagen-figueiredo-03-05-2025"
"Don'Tale Mayes (259) vs. Thomas Petersen (250)",11,"Petersen postures up and drops a couple of hard hammerfists and forearm strikes, and Mayes locks his arms around Petersen's torso to deny him space to keep the assault going.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-sandhagen-figueiredo-03-05-2025"
"Don'Tale Mayes (259) vs. Thomas Petersen (250)",12,"The round ends with Petersen on top.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-sandhagen-figueiredo-03-05-2025"
"Don'Tale Mayes (259) vs. Thomas Petersen (250)",13,"Sherdog Scores Ben Duffy scores the round: 10-9 Petersen Brian Knapp scores the round: 10-9 Petersen Tyler Treese scores the round: 10-9 Petersen Round 2 Petersen courts some danger, rushing past some Mayes punches to grab a body lock.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC-sandhagen-figueiredo-03-05-2025"
"Don'Tale Mayes (259) vs. Thomas Petersen (250)",14,"He drives Mayes to the cage and trips him to the canvas immediately.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 2","UFC-sandhagen-figueiredo-03-05-2025"
