event,bout,bout_key,foul_idx,foul_committed_by,context,foul_type_guess,foul_resulted_in_deduction,referee_paused,round_mentioned,expanded_context
UFC323-dvalishvili-yan-06-12-2025,Henry Cejudo (136) vs. Payton Talbott (136),cejudo vs talbott,1,Henry Cejudo,Cejudo gets an eye poke and time is briefly called.,eye poke,FALSE,TRUE,Round 1,"Cejudo forces the clinch, but Talbott pushes him into the fence and lands some knees before they separate. A solid 1-2 for Talbott lands. Cejudo gets an eye poke and time is briefly called. Cejudo can't quite get the takedown as the fight resumes. Talbott is landing frequently with his straight punches."
UFCVegas-111-bonfim-brown-08-11-2025,Christian Leroy Duncan (185) vs. Marco Tulio (185.5),duncan vs tulio,1,UNKNOWN,"Tulio squeezes on Duncan against the wire while his fingers are hooked in the chain links, allowing him to sneakily hold Duncan until Duncan explodes to turn him around.",fingers are hooked in the chain links,FALSE,FALSE,Round 1,"Tulio throws back hammers, and Duncan crashes forward and blasts him in the face with an overhand right. He spins with a back elbow, and it skims the top of the head as Tulio clinches him. Tulio squeezes on Duncan against the wire while his fingers are hooked in the chain links, allowing him to sneakily hold Duncan until Duncan explodes to turn him around. Shoulder strikes from Duncan land with audible thuds, and he tries to trip Tulio out like Tulio got him before. Tulio redirects his effort and nearly gets off his own, but he lets it go so he can elbow the Brit in the face."
UFCVegas-111-bonfim-brown-08-11-2025,Gabriel Bonfim (170.5) vs. Randy Brown (171),bonfim vs brown,1,UNKNOWN,"A calf kick from Bonfim is so immediately effective that Brown leaps at him with his knee out, hand extended, and his finger jams in Bonfim's eye socket.",eye poke,FALSE,TRUE,Round 1,"Brown goes for his own calf kick, and it gets checked hard. Brown bounces on his heels before doubling up on a jab to hurl a right hand behind it, and Bonfim sways with it and resets. A calf kick from Bonfim is so immediately effective that Brown leaps at him with his knee out, hand extended, and his finger jams in Bonfim's eye socket. Luckily, Bonfim takes a few seconds to clear his vision, and they resume and stay generally out of range until the bell sounds. Sherdog Scores Jay Pettry scores the round: 10-9 Bonfim Devin Tejada scores the round: 10-9 Bonfim Tyler Treese scores the round: 10-9 Bonfim Round 2 Brown leads behind his jab to start off the round and keep his distance, although his front kick reaches out to cover much more ground."
UFCVegas-111-bonfim-brown-08-11-2025,Hyder Amil (145.5) vs. Jamall Emmers (145),amil vs emmers,1,Hyder Amil,"Amil falls forward and grabs the fence to keep him afloat while scrambling, and they quickly get back up to continue trading.",grabs the fence,FALSE,FALSE,Round 2,"Amil goes high with his shin, and Emmers dances away after dinging Amil with a one-two. Emmers catches a kick, tripping Amil to the ground. Amil falls forward and grabs the fence to keep him afloat while scrambling, and they quickly get back up to continue trading. Emmers takes advantage of an overswinging ""Hurricane"" by tackling him to the canvas, this time putting Amil flat on his back. Emmers calmly, methodically opens up with ground-and-pound."
UFCVegas-111-bonfim-brown-08-11-2025,Hyder Amil (145.5) vs. Jamall Emmers (145),amil vs emmers,2,Hyder Amil,"Amil looks for range with his kicks, and Emmers blasts him with left hand at the same time Amil accidentally kicks him in the groin.",kicks him in the groin,FALSE,TRUE,Round 1,"The two 145ers will be let loose just as soon as referee Kerry Hatley says go, and they greet one another with a fist bump. Amil circles quickly from one side of the cage to the other, and the two hand-fight and swat away opening jabs. Amil looks for range with his kicks, and Emmers blasts him with left hand at the same time Amil accidentally kicks him in the groin. Hatley sees it and calls time, with Emmers taking about 45 seconds to recover before he starts up guns blazing. Both men throw caution to the wind and hammer one another with high-amplitude, wide-reaching strikes."
UFCVegas-111-bonfim-brown-08-11-2025,Hyder Amil (145.5) vs. Jamall Emmers (145),amil vs emmers,3,Hyder Amil,"Amil's front kick brushes the cup before striking the body, and Hatley signs and calls time.",kick brushes the cup,FALSE,TRUE,Round 2,"Sherdog Scores Jay Pettry scores the round: 10-9 Amil Devin Tejada scores the round: 10-9 Emmers Tyler Treese scores the round: 10-9 Amil Round 2 The two come out of their corners loaded for bear, and they proceed to prove it by punching one another square in the face when they are permitted to do so. Emmers fights behind his one-twos, and Amil relies on explosions to close the distance. Amil's front kick brushes the cup before striking the body, and Hatley signs and calls time. Hatley informs Amil to not commit any more fouls, and after about 40 seconds, they get back to business. The two walk towards one another, slinging leather, until Emmers connects and skirts away on the outside."
UFCVegas-111-bonfim-brown-08-11-2025,Hyder Amil (145.5) vs. Jamall Emmers (145),amil vs emmers,4,Jamall Emmers,"Emmers knees him in the gut when the two are tied up, and Amil gets away with a fence grab.",fence grab,FALSE,TRUE,Round 1,"Amil fires back, so Emmers runs at him and tackles him to the ground. Amil springboards back upright and gets back in Emmers' face, knocking his head around with violent swinging fists. Emmers knees him in the gut when the two are tied up, and Amil gets away with a fence grab. Emmers breaks with an elbow on the temple, and Amil swats out with a right hand and a scooping left hook that appears to hurt ""Prettyboy."" Amil catches a kick and tosses Emmers back, and he takes a left hand on the side of the eyebrow that splits his face open."
UFCVegas-111-bonfim-brown-08-11-2025,Ismael Bonfim (161: Missed Weight) vs. Chris Padilla (155),bonfim vs padilla,1,Chris Padilla,"Bonfim tries for a leg lock off his back, and Padilla steps all the way around it and lands several punches to the back of the head.Bonfim's energy reserves have reached empty, and Padilla bludgeons him with a slow, methodical bombardment of left hands.",lands several punches to the back of the head,FALSE,FALSE,Round 2,"Bonfim shoots for a double, and Padilla shuts it down and frames off his face with a knee. Padilla slashes Bonfim in the temple with an elbow, and Bonfim hits the deck. Bonfim tries for a leg lock off his back, and Padilla steps all the way around it and lands several punches to the back of the head.Bonfim's energy reserves have reached empty, and Padilla bludgeons him with a slow, methodical bombardment of left hands. Loud chants for ""Taco"" echo in the otherwise empty Apex facility as Tognoni waves the fight off in the second round, and Padilla is now the unlikely victor in four straight in the Octagon.A five-pound weight miss on the other side of the scale? No problem for the athlete who headlined the Xplode Fight Series event titled ""Taco"" over a decade ago."
UFCVegas-111-bonfim-brown-08-11-2025,Jackson McVey (193.5) vs. Zachary Reese (194),mcvey vs reese,1,Jackson McVey,"Reese has some success when under fire, and he gets a bit of unwelcome relief when McVey drives a knee directly into his cup.",knee directly into his cup,FALSE,TRUE,Round 1,"McVey punishes his opponent with knees to the body, and one particularly effective one puts Reese on his knees. Reese explodes back to his feet and comes back firing, but it is McVey who is hitting harder. Reese has some success when under fire, and he gets a bit of unwelcome relief when McVey drives a knee directly into his cup. Reese groans, and Tognoni immediately calls time as McVey apologizes. Reese walks off to recover, and Tognoni calls in the doctor to check on the fresh cut above his eyebrow that spans nearly halfway from end to end."
UFCVegas-110-garcia-onama-01-11-2025,Kevin Christian (205) vs. Billy Elekana (205.5),christian vs elekana,1,Billy Elekana,"Elekana beans him on the sides and back of the head while Christian is moving, but what are rules anymore and how are they never enforced?",back of the head,FALSE,FALSE,Round 1,"Elekana no-sells this and opens up with a massive right hand, sending Christian flying across the cage. The Brazilian hits his back and instinctively turns to his side and then to his knees to shell up. Elekana beans him on the sides and back of the head while Christian is moving, but what are rules anymore and how are they never enforced? With Christian on his knees in a daze, Elekana slides into back control, gets his hooks in and attacks the rear-naked choke.The Brazilian frantically taps almost immediately, surrendering many times on the floor while Tognoni is on the wrong side and does not see them. Elekana does not feel the taps, and Tognoni still does not register them, so Christian goes out."
UFCVegas-110-garcia-onama-01-11-2025,Seok Hyeon Ko (170) vs. Philip Rowe (171),ko vs rowe,1,Seok Hyeon Ko,"As the 10-second clapper sounds, the South Korean shoots for a double that occupies Rowe's time until the grueling contest concludes.",shoots for a double that occup,FALSE,FALSE,Round 3,"Rowe works to his feet, and Ko follows him. Ko turns him around in the clinch with a clock that now reads 30 seconds, and he remains wrapped around ""The Fresh Prince"" to ride out the rest of the fight. As the 10-second clapper sounds, the South Korean shoots for a double that occupies Rowe's time until the grueling contest concludes. Sherdog Scores Jay Pettry scores the round: 10-9 Ko (30-27 Ko) Chris Laporte scores the round: 10-9 Ko (30-27 Ko) Dayne Fox scores the round: 10-9 Ko (30-27 Ko) The Official Result Seok Hyeon Ko def. Philip Rowe via Unanimous Decision (30-26, 30-27, 30-27)"
UFCVegas-110-garcia-onama-01-11-2025,Talita Alencar (115) vs. Ariane Carnelossi (115.5),alencar vs carnelossi,1,UNKNOWN,"Alencar drops to her knees, and Smith warns Carnelossi for what would be illegal upkicks.",illegal upkick,FALSE,FALSE,Round 1,"Carnelossi punches her way out of the clinch and meanders forwards Alencar, swinging her way until they end up clinching once more. Alencar trips Carnelossi to the floor, and Carnelossi uses her upkicks when hitting the mat to keep Alencar from climbing on top of her. Alencar drops to her knees, and Smith warns Carnelossi for what would be illegal upkicks. The horn sounds with Alencar striking from above. Sherdog Scores Jay Pettry scores the round: 10-9 Alencar Chris Laporte scores the round: 10-9 Alencar Dayne Fox scores the round: 10-9 Alencar Round 2 Like the previous round, Carnelossi plods directly forward to engage, no glove touch in the works."
UFCVegas-110-garcia-onama-01-11-2025,Talita Alencar (115) vs. Ariane Carnelossi (115.5),alencar vs carnelossi,2,Talita Alencar,"This continues, and Alencar is warned for grabbing the fence to keep Carnelossi stuck and has her hand slapped away a few times.",grabbing the fence,FALSE,FALSE,Round 1,"Alencar puts Carnelossi's back to the fencing, and she knees her in the stomach when bending over for something. Carnelossi turns her about once more and gives her a few knees to think about on the other side of the equation. This continues, and Alencar is warned for grabbing the fence to keep Carnelossi stuck and has her hand slapped away a few times. Alencar ducks down in pursuit of a single-leg takedown, and she gets it for a second or two before Carnelossi pops back to her feet without issue. Carnelossi punches her way out of the clinch and meanders forwards Alencar, swinging her way until they end up clinching once more."
UFCVegas-110-garcia-onama-01-11-2025,Themba Gorimbo (171) vs. Jeremiah Wells (170.5),gorimbo vs wells,1,Jeremiah Wells,"Gorimbo controls with right hands as Wells tries to scramble, and Wells still works his way to the cage and grabs the fence immediately.",grabs the fence,FALSE,FALSE,Round 1,"He uses this limb control to stand up and subsequently attempt a trip takedown. ""The Answer"" answers him with a throw that plants the Renzo Gracie Philly product flat on his back. Gorimbo controls with right hands as Wells tries to scramble, and Wells still works his way to the cage and grabs the fence immediately. Gorimbo chucks him to the floor like a sack of potatoes and reassumes top position. When Gorimbo sits up to blast with ground strikes, Wells scurries to put himself closer to the fencing."
UFCVegas-110-garcia-onama-01-11-2025,Themba Gorimbo (171) vs. Jeremiah Wells (170.5),gorimbo vs wells,2,Jeremiah Wells,"Wells pulls his finger in the fence to try to improve his position, and when he tries again, Tognoni shouts him down.",finger in the fence,FALSE,FALSE,Round 1,"Gorimbo responds with a double-leg takedown, grounding the Philadelphia native for a moment. Wells bounces back to his feet, and Gorimbo uses full-on muscle to throw him back to the mat. Wells pulls his finger in the fence to try to improve his position, and when he tries again, Tognoni shouts him down. In the meantime, Gorimbo has advanced to full mount, and he forces Wells to turn over when he is about to engage with ground-and-pound. Wells twists to his knees and grabs hold of Gorimbo's right hand to control it and prevent him from getting struck."
UFCVegas-110-garcia-onama-01-11-2025,Themba Gorimbo (171) vs. Jeremiah Wells (170.5),gorimbo vs wells,3,Themba Gorimbo,"Wells simply explodes back up to his feet, and he turns Gorimbo to the fence and imposes his weight all while tugging his fingers in the chain links illegally.",tugging his fingers in the chain links,FALSE,FALSE,Round 1,"When Gorimbo sits up to blast with ground strikes, Wells scurries to put himself closer to the fencing. Just as Wells is about to sit and follow him, Gorimbo strips his legs out beneath him. Wells simply explodes back up to his feet, and he turns Gorimbo to the fence and imposes his weight all while tugging his fingers in the chain links illegally. That makes three, maybe four loud warnings from Tognoni with nothing else to it. Wells turns things around and sits himself down on top of Gorimbo as the round concludes."
