event,bout,bout_key,foul_idx,foul_committed_by,context,foul_type_guess,foul_resulted_in_deduction,referee_paused,round_mentioned,expanded_context
UFC-deridder-allen-18-10-2025,Azamat Bekoev (185) vs. Yousri Belgaroui (185.5),bekoev vs belgaroui,1,Yousri Belgaroui,"Bekoev lunges out with a long left hand to attack for a takedown, and Belgaroui bowls him over and grabs the fence to maintain position.",grabs the fence,FALSE,FALSE,Round 2,"Belgaroui chips at the front leg to trip up his foe, and his jabs are beating Bekoev to the punch. The Russian throws everything he has into his swings, while Belgaroui's sharp jab has flattened his nose. Bekoev lunges out with a long left hand to attack for a takedown, and Belgaroui bowls him over and grabs the fence to maintain position. With Bekoev attacking the leg for a single, Belgaroui hacks at him with elbows. Belgaroui stands up, and he drops back to his knee to defend another takedown effort."
UFC-deridder-allen-18-10-2025,Azamat Bekoev (185) vs. Yousri Belgaroui (185.5),bekoev vs belgaroui,2,Yousri Belgaroui,"Belgaroui pulls on the fence to get to his knee, and Bekoev remains pursuant of the single.",pulls on the fence,FALSE,FALSE,Round 1,"He succeeds in knocking the beanpole against the wire, but he has to back off when Belgaroui hits him back hard. Bekoev continues to chase his man around, just following him and not cutting off angles, and he snatches a Belgaroui knee out of the air and holds it up to trip him down to the floor. Belgaroui pulls on the fence to get to his knee, and Bekoev remains pursuant of the single. Belgaroui smashes him in the temple and forehead with surprisingly heavy hammerfists, opening a gash on Bekoev's hairline that starts leaking down his face almost immediately. Bekoev does not flinch, instead hooking his legs around Belgaroui's to keep him stuck on his seat."
UFC-deridder-allen-18-10-2025,Danny Barlow (185.5) vs. Djorden Santos (185.5),barlow vs santos,1,Danny Barlow,"Barlow kicks him in the body, and the ricochet of his foot bangs into the cup, but Santos again ignores it.",ricochet of his foot bangs into the cup,FALSE,FALSE,Round 2,"Sherdog Scores Jay Pettry scores the round: 10-9 Barlow Ben Duffy scores the round: 10-9 Barlow Brian Knapp scores the round: 10-9 Barlow Round 2 Santos rushes out of his corner to attack, and he puts Barlow immediately on his back foot. Santos' volume is much higher than the previous round, and he strings multiple punches into kicks. Barlow kicks him in the body, and the ricochet of his foot bangs into the cup, but Santos again ignores it. ""Left Hand 2 God"" unleashes a devastating left hand that completely dislodges Santos' mouthguard, and Cooper calls pause and replaces the mouthpiece instead of allowing Barlow to keep throwing. When they resume, Barlow strikes again with his big left hand, and he swaps stances to keep the Brazilian off-guard."
UFC-deridder-allen-18-10-2025,Danny Barlow (185.5) vs. Djorden Santos (185.5),barlow vs santos,2,Danny Barlow,"Barlow steps in with a knee and the foot smacks the cup, and Santos waves off Cooper's intervention.",knee and the foot smacks the cup,FALSE,FALSE,Round 1,"Barlow works both sides of the Brazilian's front leg, only for Santos to greet him with straight punches to the body and head. They both throw hammers at one another and remain out of range, but Santos' chipping kick connects cleanly. Barlow steps in with a knee and the foot smacks the cup, and Santos waves off Cooper's intervention. Barlow dings Santos twice with a left hand and surges his way into a brawl right at the horn. Sherdog Scores Jay Pettry scores the round: 10-9 Barlow Ben Duffy scores the round: 10-9 Barlow Brian Knapp scores the round: 10-9 Barlow Round 2 Santos rushes out of his corner to attack, and he puts Barlow immediately on his back foot."
UFC-deridder-allen-18-10-2025,Danny Barlow (185.5) vs. Djorden Santos (185.5),barlow vs santos,3,Danny Barlow,"Santos complains about an eye poke after Barlow's finger slides into the eye, and Cooper gives him time to recover.",eye poke,FALSE,TRUE,Round 2,"Santos blinks them out and drives two one-twos down the middle, and Barlow checks the subsequent leg kick and counters him with a left hand to the pectoral. Barlow winds up with two more looping punches, and Santos wags his finger at him. Santos complains about an eye poke after Barlow's finger slides into the eye, and Cooper gives him time to recover. After 40 seconds, they get going again. Santos blitzes forward, only to get his foot tripped out from a sneaky calf kick."
UFC-deridder-allen-18-10-2025,Drew Dober (155.5) vs. Kyle Prepolec (155.5),dober vs prepolec,1,Drew Dober,"Dober kicks the thigh, and the leg brushes up against the cup.",brushes up against the cup,FALSE,FALSE,Round 1,"Dober scores with his left and chops the front leg with a kick, and he aims a body shot but is kicked back by the Canadian. Dober reaches with his big left, and his body kick plants on the torso. Dober kicks the thigh, and the leg brushes up against the cup. Prepolec waves Cooper off and they keep going. Dober's kicks have started to have an impact on Prepolec's front wheel, as Prepolec is ginger on it and open to big left hands."
UFC-deridder-allen-18-10-2025,Drew Dober (155.5) vs. Kyle Prepolec (155.5),dober vs prepolec,2,Drew Dober,"Dober unleashes a low kick with everything behind it, and it crashes directly into Prepolec's cup.",crashes directly into Prepolec's cup,TRUE,TRUE,Round 3,"They nod to one another, touch gloves, and swing for the fences. Prepolec boots Dober in the face with his foot, and Dober races after him with flailing punches. Dober unleashes a low kick with everything behind it, and it crashes directly into Prepolec's cup. Prepolec collapses to the floor, and Cooper goes to the Canadian and practically begs him to take as much time as he needs instead of hurrying back. The partisan crowd starts a booming, profane chant of ""F--- Drew Dober,"" as Prepolec is in agony on his knees."
UFC-deridder-allen-18-10-2025,Hyun Sung Park (126) vs. Bruno Silva (125.5),park vs silva,1,Bruno Silva,"Silva pushes off and a finger scrapes the eye, and Park protests but the foul is not called.",eye poke,FALSE,FALSE,Round 1,"Silva hops back and forth between stances, and his swiping left hand further damages Park's lower mandible. Silva aims that punch at the same target again, and Park stands him up with a head kick. Silva pushes off and a finger scrapes the eye, and Park protests but the foul is not called. A few seconds later, Ram tells Silva to watch his fingers. Silva answers with a hacking elbow that splits a cut open on the top of Park's hairline."
UFC-deridder-allen-18-10-2025,Kevin Holland (170.5) vs. Mike Malott (171),holland vs malott,1,Mike Malott,"The welterweights scramble back to their feet, and clashing kicks leads to Malott inadvertently kicking Holland in the groin.",kicking Holland in the groin,FALSE,TRUE,Round 1,"Malott hits a sneaky sweep to put Holland on his seat. Holland fights his way back up, and when Malott tries for a mat return, Holland bends like a reed in the wind and rolls all the way through the takedown attempt to end up on top. The welterweights scramble back to their feet, and clashing kicks leads to Malott inadvertently kicking Holland in the groin. Miragliotta calls time, and Holland laughs it off and is good to go within 20 seconds. They resume, and Holland appears fine, as he reaches Malott and knocks him back with a clean left hand."
UFC-deridder-allen-18-10-2025,Kevin Holland (170.5) vs. Mike Malott (171),holland vs malott,2,Mike Malott,"When they tie up, Malott drills him in the groin with a knee, and Holland is not so jovial about it as he collapses to his knees.",drills him in the groin,FALSE,TRUE,Round 1,"They resume, and Holland appears fine, as he reaches Malott and knocks him back with a clean left hand. ""Trailblazer"" leaps at his man with a right hand, and he keeps his balance when Malott wraps him up to drag him down. When they tie up, Malott drills him in the groin with a knee, and Holland is not so jovial about it as he collapses to his knees. Miragliotta tells the replay officials that he could hear the impact of the second groin strike, and he tells Malott that he knows that it was an accident but reminds him that it was two infractions already and the second appears to have clearly compromised the Texan. Holland gets to his knees but is still clutching his groin, and he reaches in to try to adjust himself and nearly exposes himself on camera."
