bout,foul_committed_by,context,foul_type_guess,foul_resulted_in_deduction,referee_paused,round_mentioned
Chang Ho Lee (136) vs. Cortavious Romious (139.5: Missed Weight),Chang Ho Lee,"Lee jumps at him, and his knee loudly bangs into the cup.",knee loudly bangs into the cup,FALSE,TRUE,Round 2
Chang Ho Lee (136) vs. Cortavious Romious (139.5: Missed Weight),Cortavious Romious,"Romious pulls his toes in the chain links to reposition himself, prompting Tognoni to tell him that he canât do that.",pulls his toes in the chain links,FALSE,FALSE,Round 2
Josh Emmett (146) vs. Lerone Murphy (145.5),Josh Emmett,"Murphy's low kicks irritate Emmett, and he pushes off and jams his fingers into Murphyâs eye sockets.",eye poke,FALSE,TRUE,Round 3
Josh Emmett (146) vs. Lerone Murphy (145.5),Lerone Murphy,"The Californian clasps his hands together and looks to lift Murphy off the ground, and Murphy elbows him on the crown of the headâan illegal strike, to be clearâand it starts bleeding instantly.",elbows him on the crown of the head,FALSE,FALSE,Round 4
Loma Lookboonmee (115) vs. Istela Nunes (115),Loma Lookboonmee,"Lookboonmee is warning for striking the back of the head, and she pushes the Brazilian off of her.",back of the head,FALSE,FALSE,Round 1
Loma Lookboonmee (115) vs. Istela Nunes (115),Loma Lookboonmee,"Lookboonmee pushes off, and her finger may or may not have scraped the eye.",eye poke,FALSE,FALSE,Round 1
Loma Lookboonmee (115) vs. Istela Nunes (115),Istela Nunes,"Nunes grabs the cage wall several times, and Tognoni reaches around repeatedly to slap Nunesâ hand.",grabs the cage,FALSE,FALSE,Round 2
Loma Lookboonmee (115) vs. Istela Nunes (115),Istela Nunes,"Nunes hooks her toes in the fence to try to improve her position, and Tognoni slaps her toes.",hooks her toes in the fence,FALSE,FALSE,Round 3
Talita Alencar (115) vs. Vanessa Demopoulos (116),Talita Alencar,"Alencar uses her left arm to pressure behind Demopoulosâs neck, and she is warned for grabbing the fence when imposing her weight on her opponent.",grabbing the fence,FALSE,FALSE,Round 1
Talita Alencar (115) vs. Vanessa Demopoulos (116),Talita Alencar,"Demopoulos sells out for a leglock in hopes of reversing the position, and Alencar gets out of it by repeatedly grabbing the fence.",grabbing the fence,FALSE,FALSE,Round 2
Talita Alencar (115) vs. Vanessa Demopoulos (116),Vanessa Demopoulos,"Demopoulos uses her toes to try to pull her out of danger, which too is a foul.","uses her toes to try to pull her out of danger, which too is a foul",FALSE,FALSE,Round 1
Talita Alencar (115) vs. Vanessa Demopoulos (116),Talita Alencar,"Rules mean nothing with no consequences, and multiple fence grabs keeping her out of a submission go generally uncalled other than a âknock it offâ from Tognoni.",fence grab,FALSE,FALSE,Round 2
Torrez Finney (186) vs. Robert Valentin (185.5),Robert Valentin,"Valentin returns to his knees, grabbing the fence clearly to stand up and getting shouted at.",grabbing the fence,FALSE,FALSE,Round 2
Torrez Finney (186) vs. Robert Valentin (185.5),Robert Valentin,"Valentin throws his legs up in pursuit of a triangle choke, and Finney stacks him up and pushes out thanks in part to Valentin grabbing the cage with his toes.",grabbing the cage,FALSE,FALSE,Round 2
