"bout","sid","sentence","has_foul_raw","has_foul","rule_score","rule_conf","rule_reasons_pos","rule_reasons_neg","time_str","round_mentioned","event"
"Talita Alencar (115) vs. Vanessa Demopoulos (116)",1,"Talita Alencar (115) vs.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,NA,"UFCvegas-105-emmett-murphy-05-04-2025"
"Talita Alencar (115) vs. Vanessa Demopoulos (116)",2,"Vanessa Demopoulos (116) BETTING PREVIEW | SCOUTING REPORT | ODDS: Alencar (-112), Demopoulos (-108) Round 1 This 11-week marathon of consecutive UFC cards soldiers on with the penultimate show on the stretch.",FALSE,FALSE,0,0.00669285092428486,"","injury_eye_context|gate_not_started|injury_stoppage",NA,"Round 1","UFCvegas-105-emmett-murphy-05-04-2025"
"Talita Alencar (115) vs. Vanessa Demopoulos (116)",3,"We scoot back to the confines of the UFC Apex for better EBITDA margins, in a building that was supposed to starting renovations or construction soon.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFCvegas-105-emmett-murphy-05-04-2025"
"Talita Alencar (115) vs. Vanessa Demopoulos (116)",4,"For now, it plays host to 12 fights ranging from 115 pounds to 266, but few matches on the lineup have any rankings relevance while there is likely to be ample pink slip fodder.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFCvegas-105-emmett-murphy-05-04-2025"
"Talita Alencar (115) vs. Vanessa Demopoulos (116)",5,"The ladies in this curtain jerker might be safe if they lose this one, but with the promotion preparing for the summer season of Contender Series, few on the roster are safe.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFCvegas-105-emmett-murphy-05-04-2025"
"Talita Alencar (115) vs. Vanessa Demopoulos (116)",6,"The two that kick this event off might be similar in age but they are a chasm apart in terms of experience.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFCvegas-105-emmett-murphy-05-04-2025"
"Talita Alencar (115) vs. Vanessa Demopoulos (116)",7,"Demopoulos (11-6, 5-3 UFC) celebrates almost three times the appearances of Alencar (5-1-1, 1-1 UFC) despite the Brazilian just two years younger.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFCvegas-105-emmett-murphy-05-04-2025"
"Talita Alencar (115) vs. Vanessa Demopoulos (116)",8,"Referee Chris Tognoni takes charge for the opening bout, and it kicks off without a glove touch.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCvegas-105-emmett-murphy-05-04-2025"
"Talita Alencar (115) vs. Vanessa Demopoulos (116)",9,"Demopoulos says hello with two punches across the forward bow, and she snaps out another such combo and reaches Alencar with one more left hand before the Brazilian can get to her.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCvegas-105-emmett-murphy-05-04-2025"
"Talita Alencar (115) vs. Vanessa Demopoulos (116)",10,"Alencar ties her foe up against the cage, and she drops down and wraps up a head lock to force ""Lil Monster"" to her knees.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 1","UFCvegas-105-emmett-murphy-05-04-2025"
