event,bout_gold,fouler,foul_type,fight_paused,point_deduction,foul_idx,bout_key,bout_model,context,foul_type_guess,foul_resulted_in_deduction,referee_paused,round_mentioned,predicted_foul_type,fouler_model,match_foul_type,match_fouler,match_pause,match_deduction,match_all,foul_acc,fouler_acc,pause_acc,ded_acc,all_acc
UFC-covington-buckley-14-12-2024,Marcos vs Yanez,Marcos,eye poke,TRUE,FALSE,1,marcos vs yanez,Daniel Marcos (136) vs. Adrian Yanez (136),Marcos lands a simultaneous low blow and an eye poke all at once.,eye poke,FALSE,TRUE,Round 1,eye poke,Marcos,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1
UFC-covington-buckley-14-12-2024,Grant vs Taveras,Grant,groin strike,TRUE,FALSE,1,grant vs taveras,Davey Grant (136) vs. Ramon Taveras (136),"A low blow lands for Grant, so Taveras will take time to recover.",A low blow,FALSE,TRUE,Round 1,groin strike,Grant,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1
UFC-covington-buckley-14-12-2024,Horth vs Maverick,Horth,back of head strike,FALSE,FALSE,1,horth vs maverick,Jamey-Lyn Horth (126) vs. Miranda Maverick (126),Sherdog Scores Tyler Treese scores the round: 10-9 Maverick Tristen Critchfield scores the round: 10-9 Maverick Brian Knapp scores the round: 10-9 Maverick Round 2 Maverick complained of shots to the back of the head between rounds.,shots to the back of the head,FALSE,FALSE,Round 2,back of head strike,Horth,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1
UFC-covington-buckley-14-12-2024,Kape vs Silva,Silva,groin strike,TRUE,FALSE,1,kape vs silva,Manel Kape (125) vs. Bruno Silva (126),A low blow hits Kape.,A low blow,FALSE,TRUE,Round 1,groin strike,Silva,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1
UFC-covington-buckley-14-12-2024,Kape vs Silva,Silva,groin strike,FALSE,FALSE,2,kape vs silva,Manel Kape (125) vs. Bruno Silva (126),Kape gets kicked in the groin again.,kicked in the groin,FALSE,FALSE,Round 1,groin strike,Silva,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1
UFC-covington-buckley-14-12-2024,Kape vs Silva,Silva,groin strike,TRUE,TRUE,3,kape vs silva,Manel Kape (125) vs. Bruno Silva (126),Yet another low blow as Kape goes down.,low blow,TRUE,TRUE,Round 2,groin strike,Silva,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1
UFC-deridder-allen-18-10-2025,Bekoev vs Belgaroui,Belgaroui,fence grab,FALSE,FALSE,1,bekoev vs belgaroui,Azamat Bekoev (185) vs. Yousri Belgaroui (185.5),"Bekoev lunges out with a long left hand to attack for a takedown, and Belgaroui bowls him over and grabs the fence to maintain position.",grabs the fence,FALSE,FALSE,Round 2,fence grab,Belgaroui,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1
UFC-deridder-allen-18-10-2025,Bekoev vs Belgaroui,Belgaroui,fence grab,FALSE,FALSE,2,bekoev vs belgaroui,Azamat Bekoev (185) vs. Yousri Belgaroui (185.5),"Belgaroui pulls on the fence to get to his knee, and Bekoev remains pursuant of the single.",pulls on the fence,FALSE,FALSE,Round 1,fence grab,Belgaroui,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1
UFC-deridder-allen-18-10-2025,Barlow vs Santos,Barlow,groin strike,FALSE,FALSE,1,barlow vs santos,Danny Barlow (185.5) vs. Djorden Santos (185.5),"Barlow kicks him in the body, and the ricochet of his foot bangs into the cup, but Santos again ignores it.",ricochet of his foot bangs into the cup,FALSE,FALSE,Round 2,groin strike,Barlow,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1
UFC-deridder-allen-18-10-2025,Barlow vs Santos,Barlow,groin strike,FALSE,FALSE,2,barlow vs santos,Danny Barlow (185.5) vs. Djorden Santos (185.5),"Barlow steps in with a knee and the foot smacks the cup, and Santos waves off Cooper's intervention.",knee and the foot smacks the cup,FALSE,FALSE,Round 1,groin strike,Barlow,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1
