"bout","sid","sentence","has_foul_raw","has_foul","rule_score","rule_conf","rule_reasons_pos","rule_reasons_neg","time_str","round_mentioned","event"
"Vanessa Demopoulos (126) vs. Jamey-Lyn Horth (126)",1,"Vanessa Demopoulos (126) vs.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,NA,"UFC-usman-buckley-21-06-2025"
"Vanessa Demopoulos (126) vs. Jamey-Lyn Horth (126)",2,"Jamey-Lyn Horth (126) BETTING PREVIEW | SCOUTING REPORT | ODDS: Horth (-520), Demopoulos (+390) Round 1 Atlanta!",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-usman-buckley-21-06-2025"
"Vanessa Demopoulos (126) vs. Jamey-Lyn Horth (126)",3,"The capital of Georgia!",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-usman-buckley-21-06-2025"
"Vanessa Demopoulos (126) vs. Jamey-Lyn Horth (126)",4,"The City in a Forest, The A, The Gate City, Hollywood of the South, ATL, Hotlanta, A City Among the Hills, Dogwood Cityâ¦and many other names.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-usman-buckley-21-06-2025"
"Vanessa Demopoulos (126) vs. Jamey-Lyn Horth (126)",5,"The UFC has arrived to the city that holds over six million people in its metropolitan area, returning for the first time since Max Holloway and Dustin Poirier threw down for the second time all the way back in 2019.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-usman-buckley-21-06-2025"
"Vanessa Demopoulos (126) vs. Jamey-Lyn Horth (126)",6,"While no all-time banger is slated for this event's lineup, with 13 bouts of varied significance, something is bound to bring the goods.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-usman-buckley-21-06-2025"
"Vanessa Demopoulos (126) vs. Jamey-Lyn Horth (126)",7,"UFC on ESPN 69 kicks off with a women's flyweight contest pitting a Canadian in Horth (7-2, 2-2 UFC) struggling to find her way against a former strawweight in Demopoulos (11-7, 5-4 UFC) also trying to figure things out.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-usman-buckley-21-06-2025"
"Vanessa Demopoulos (126) vs. Jamey-Lyn Horth (126)",8,"Even with Horth sporting massive odds in her favor around -600, she is not even in top three heaviest betting favorites tonight.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-usman-buckley-21-06-2025"
"Vanessa Demopoulos (126) vs. Jamey-Lyn Horth (126)",9,"Here be squash matches.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-usman-buckley-21-06-2025"
"Vanessa Demopoulos (126) vs. Jamey-Lyn Horth (126)",10,"Referee Nate Mann takes the wheel for the first fight of the night, and the ladies touch gloves before his eyes to get started.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 1","UFC-usman-buckley-21-06-2025"
"Vanessa Demopoulos (126) vs. Jamey-Lyn Horth (126)",11,"Demopoulos, the shorter and smaller woman of the two by a wide margin, tries to get her offense going but is well out of range.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-usman-buckley-21-06-2025"
"Vanessa Demopoulos (126) vs. Jamey-Lyn Horth (126)",12,"Horth, meanwhile, easily slaps her opponent in the face with the first strike she throws: a front kick.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-usman-buckley-21-06-2025"
"Vanessa Demopoulos (126) vs. Jamey-Lyn Horth (126)",13,"Horth flicks out a low kick and avoids the return fire, with the former strawweight too distant.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-usman-buckley-21-06-2025"
"Vanessa Demopoulos (126) vs. Jamey-Lyn Horth (126)",14,"Horth goes to the well with another kick, and Demopoulos's calf is already welting and reddening.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-usman-buckley-21-06-2025"
"Vanessa Demopoulos (126) vs. Jamey-Lyn Horth (126)",15,"Demopoulos lunges forward a few times, to no avail.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-usman-buckley-21-06-2025"
"Vanessa Demopoulos (126) vs. Jamey-Lyn Horth (126)",16,"Horth nearly wraps her head kick around the guard, forcing Demopoulos to mind her P's and Q's.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-usman-buckley-21-06-2025"
"Vanessa Demopoulos (126) vs. Jamey-Lyn Horth (126)",17,"Horth pitches a high kick to the other side, and the impact alone makes Demopoulos have to take a step back.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-usman-buckley-21-06-2025"
"Vanessa Demopoulos (126) vs. Jamey-Lyn Horth (126)",18,"Horth uses her long legs to do work, and she pins a body kick and follows it with a front kick to the midsection.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-usman-buckley-21-06-2025"
"Vanessa Demopoulos (126) vs. Jamey-Lyn Horth (126)",19,"Demopoulos's responses rebound off the guard or come up short, so she engages in a clinch.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-usman-buckley-21-06-2025"
"Vanessa Demopoulos (126) vs. Jamey-Lyn Horth (126)",20,"The two jockey for position as soon as they find their way tied up, turning one another about, and Horth clocks Demopoulos with a right hand.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-usman-buckley-21-06-2025"
"Vanessa Demopoulos (126) vs. Jamey-Lyn Horth (126)",21,"Horth walks her foe down, landing with impunity, and turning the older woman's face a brilliant shade of red.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-usman-buckley-21-06-2025"
"Vanessa Demopoulos (126) vs. Jamey-Lyn Horth (126)",22,"Horth picks away with jabs, stepping in with a kick to the body and giving Demopoulos all she can handle.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-usman-buckley-21-06-2025"
"Vanessa Demopoulos (126) vs. Jamey-Lyn Horth (126)",23,"Horth splits the guard with a one-two, and she again finds her target with a front kick.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-usman-buckley-21-06-2025"
"Vanessa Demopoulos (126) vs. Jamey-Lyn Horth (126)",24,"A trickle of blood appears on the side of Demopoulos' nose, and Horth sees it and kicks at it.",FALSE,FALSE,0,0.00669285092428486,"","injury_eye_context|injury_stoppage",NA,"Round 1","UFC-usman-buckley-21-06-2025"
