bout,sid,run_id,context,foul_raw_match,foul_type_guess,referee_paused,foul_resulted_in_deduction,fighter1,fighter2,bout_key,foul_committed_by,foul_idx
Jhonata Diniz (257.5) vs. Alvin Hines (259.5),51,51,"hines pushes out a right hand, and his finger appears to slide into diniz' eye socket.",finger appears to slide into diniz' eye,eye poke,FALSE,FALSE,Jhonata Diniz,Alvin Hines,diniz vs hines,Alvin Hines,1
Niko Price (170.5) vs. Jacobe Smith (170.5),12,12,"price, on his back, considers an armbar off his back, but it is broken up when referee smith warns him loudly for grabbing the cage.",grabbing the cage,grabbing the cage,FALSE,FALSE,Niko Price,Jacobe Smith,price vs smith,Jacobe Smith,1
Viviane Araujo (125.5) vs. Tracy Cortez (126),51,51,"cortez follows her and takes her back with a hook in, and she sits up and elbows araujo on the side and back of the head.",elbows araujo on the side and back of the head,elbows araujo on the side and back of the head,FALSE,FALSE,Viviane Araujo,Tracy Cortez,araujo vs cortez,Tracy Cortez,1
Timothy Cuamba (146) vs. Roberto Romero (145),11,11,cuamba goes low with a knee to the groin-it looks like romero lands his own at the same time in the exchange-and berens calls time.,knee to the groin,knee to the groin,FALSE,FALSE,Timothy Cuamba,Roberto Romero,cuamba vs romero,Timothy Cuamba,1
Evan Elder (156) vs. Gauge Young (156),12,12,"berens tells the fighters to keep their hands closed, and young does not listen and pokes elder in the eye when elder was swinging for a right hand.",pokes elder in the eye,eye poke,FALSE,FALSE,Evan Elder,Gauge Young,elder vs young,Gauge Young,1
Ikram Aliskerov (185.5) vs. Andre Muniz (185),13,13,"aliskerov gets through with a clubbing right hand, and muniz rebounds off the fence and tells herzog that aliskerov is about to poke him in the eye with his outstretched fingers.",poke him in the eye,eye poke,FALSE,FALSE,Ikram Aliskerov,Andre Muniz,aliskerov vs muniz,UNKNOWN,1
Randy Brown (171) vs. Nicolas Dalby (171),14,14,"dalby complains about an eye poke, and peterson tells brown to not leave his fingers outstretched.",eye poke,eye poke,FALSE,FALSE,Randy Brown,Nicolas Dalby,brown vs dalby,Randy Brown,1
Giga Chikadze (147: Missed Weight) vs. David Onama (146),27,27,"chikadze lands an elbow to the back of the head, and onama hooks his legs between chikadze's to shut down his escape attempt.",lands an elbow to the back of the head,lands an elbow to the back of the head,FALSE,FALSE,Giga Chikadze,David Onama,chikadze vs onama,Giga Chikadze,1
Mingyang Zhang (206) vs. Anthony Smith (206),19,19,"zhang lands a strike to the back of the head, and smith pulls guard to drag him into the grappling world.",lands a strike to the back of the head,lands a strike to the back of the head,FALSE,FALSE,Mingyang Zhang,Anthony Smith,zhang vs smith,Mingyang Zhang,1
Ian Garry (171) vs. Carlos Prates (171),33,33,"prates surprises his opponent with a step-in elbow, and garry retaliates with a push kick that bangs into the cup.",kick that bangs into the cup,kick that bangs into the cup,FALSE,FALSE,Ian Garry,Carlos Prates,garry vs prates,Ian Garry,1
Ian Garry (171) vs. Carlos Prates (171),69,69,"a garry front kick bounces into the cup, and prates again signals he is ok.",kick bounces into the cup,kick bounces into the cup,FALSE,FALSE,Ian Garry,Carlos Prates,garry vs prates,Ian Garry,2
