"bout","sid","sentence","has_foul_raw","has_foul","rule_score","rule_conf","rule_reasons_pos","rule_reasons_neg","time_str","round_mentioned","event"
"Nicolle Caliari (126) vs. Carli Judice (125)",1,"Nicolle Caliari (126) vs.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,NA,"UFC318-holloway-poirier-19-07-2025"
"Nicolle Caliari (126) vs. Carli Judice (125)",2,"Carli Judice (125) BETTING PREVIEW | SCOUTING REPORT | ODDS: Judice (-278), Caliari (+225) Round 1 It's time for another pay-per-view, this time with no divisional belt on top.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC318-holloway-poirier-19-07-2025"
"Nicolle Caliari (126) vs. Carli Judice (125)",3,"While there may be a ""BMF Title"" exchange at night's end, the promotion has already shown that it can be taken and bestowed to any match that needs a marketing boost.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC318-holloway-poirier-19-07-2025"
"Nicolle Caliari (126) vs. Carli Judice (125)",4,"Additionally, its holder does not surrender it on a loss like a linear belt, making it a shiny, expensive trophy that tends to involve a celebrity draping it around the victor.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC318-holloway-poirier-19-07-2025"
"Nicolle Caliari (126) vs. Carli Judice (125)",5,"That celebrity tonight will likely be Lil Wayne.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC318-holloway-poirier-19-07-2025"
"Nicolle Caliari (126) vs. Carli Judice (125)",6,"Before all that, we have a bakers' dozen matchups to plow through.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC318-holloway-poirier-19-07-2025"
"Nicolle Caliari (126) vs. Carli Judice (125)",7,"Flyweights will be first to the cage, as head kick aficionado Judice (4-2, 1-1 UFC), who trains out of Headkicks MMA, battles Brazil's Caliari (8-3, 0-1 UFC).",FALSE,FALSE,0,0.00669285092428486,"strong_anchor","gate_not_started",NA,"Round 1","UFC318-holloway-poirier-19-07-2025"
"Nicolle Caliari (126) vs. Carli Judice (125)",8,"The ladies will receive oversight from referee Bassel Mahgoub to start things off, and they bump gloves to seal the cage around them.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 1","UFC318-holloway-poirier-19-07-2025"
"Nicolle Caliari (126) vs. Carli Judice (125)",9,"Caliari gets right to business, chasing after ""Crispy"" with a combination of punches and ending it with a head kick.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC318-holloway-poirier-19-07-2025"
"Nicolle Caliari (126) vs. Carli Judice (125)",10,"She pitches a similar flurry when Judice backpedals to defend herself.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC318-holloway-poirier-19-07-2025"
"Nicolle Caliari (126) vs. Carli Judice (125)",11,"Judice parries the worst of the attacks and jabs out with her lead fist and front kick.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC318-holloway-poirier-19-07-2025"
"Nicolle Caliari (126) vs. Carli Judice (125)",12,"Caliari crashes forward with a left hand, and Judice responds with a body kick and an overhand left.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC318-holloway-poirier-19-07-2025"
"Nicolle Caliari (126) vs. Carli Judice (125)",13,"Judice splits the guard with a second punch, and she steps in to stun Caliari with a knee.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC318-holloway-poirier-19-07-2025"
"Nicolle Caliari (126) vs. Carli Judice (125)",14,"Caliari responds with a tackling takedown, dragging the American to her knees for a moment.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC318-holloway-poirier-19-07-2025"
"Nicolle Caliari (126) vs. Carli Judice (125)",15,"Judice wall-walks to get upright despite Caliari clinging around her waist from behind, and she fights off a few mat return efforts while leaned on the cage.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 1","UFC318-holloway-poirier-19-07-2025"
"Nicolle Caliari (126) vs. Carli Judice (125)",16,"The fans are quick to express restlessness, letting the flyweights have it with boos until Judice breaks away.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC318-holloway-poirier-19-07-2025"
"Nicolle Caliari (126) vs. Carli Judice (125)",17,"When they reset, Judice jams Caliari in the jaw with a sharp knee.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC318-holloway-poirier-19-07-2025"
"Nicolle Caliari (126) vs. Carli Judice (125)",18,"Caliari shakes it off and pursues a half-baked takedown, and Judice stops her subsequent head-and-arm throw to put Caliari on her face.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC318-holloway-poirier-19-07-2025"
"Nicolle Caliari (126) vs. Carli Judice (125)",19,"Caliari now is the one having to work to her feet, and Judice frames off by pegging her with elbows and a knee.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC318-holloway-poirier-19-07-2025"
"Nicolle Caliari (126) vs. Carli Judice (125)",20,"Caliari takes a few steps back, and Judice gives chase with a front kick and a barrage of fists.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC318-holloway-poirier-19-07-2025"
"Nicolle Caliari (126) vs. Carli Judice (125)",21,"Caliari tries to respond with power strikes, reddening up Judice's nose, but she finds herself dealing with the counters that quickly come.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC318-holloway-poirier-19-07-2025"
"Nicolle Caliari (126) vs. Carli Judice (125)",22,"Caliari rushes after a takedown, and Judice slings her to the floor defensively and hovers over her before standing up.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC318-holloway-poirier-19-07-2025"
"Nicolle Caliari (126) vs. Carli Judice (125)",23,"Caliari thinks about another, but she is stonewalled and takes jabs on the nose.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC318-holloway-poirier-19-07-2025"
"Nicolle Caliari (126) vs. Carli Judice (125)",24,"Justice sticks and moves, walking into a big right hand but giving Caliari a clean left down the middle and following it with a powerful knee.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC318-holloway-poirier-19-07-2025"
"Nicolle Caliari (126) vs. Carli Judice (125)",25,"Caliari ties her up, but Judice turns her around and holds her there to the bell.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC318-holloway-poirier-19-07-2025"
