bout,run_id,foul_committed_by,context,foul_type_guess,foul_resulted_in_deduction,referee_paused,round_mentioned
Arman Tsarukyan (156) vs. Dan Hooker (155.5),1,Dan Hooker,"Hookerâs long legs push off and eventually his toes pull on the fence to help him improve his positionâillegally, of courseâbut Tsarukyan is in full smother mode.",toes pull on the fence,FALSE,FALSE,Round 1
Asu Almabayev (125.5) vs. Alex Perez (126),1,Alex Perez,"Movahedi warns him to not smack the Kazakh in the back of the head, and Almabayev spins Perez around but cannot put him down to the floor.",smack the Kazakh in the back of the head,FALSE,FALSE,Round 1
Asu Almabayev (125.5) vs. Alex Perez (126),2,Alex Perez,"Perez elbows him in the back of the head a few times, and remains elbowing and not settling until the horn blares.",elbows him in the back of the head,FALSE,FALSE,Round 1
Bekzat Almakhan (136) vs. Aleksandre Topuria (135.5),1,Bekzat Almakhan,"Almakhanâs strikes off his back include a few to the back of the head, and Topuria elbows his way into full mount.",strikes off his back include a few to the back of the head,FALSE,FALSE,Round 1
Bekzat Almakhan (136) vs. Aleksandre Topuria (135.5),2,Aleksandre Topuria,"He swats out a left hand that appears to swipe Almakhan in the eye, and he apologizes with the foul going uncalled.",swats out a left hand that appears to swipe Almakhan in the eye,FALSE,FALSE,Round 2
Bogdan Grad (145.5) vs. Luke Riley (145.5),1,Luke Riley,"Riley grabs the fence to stay on his feet, and Grad pulls him away from it to ground him in the open cage away from the wall.",grabs the fence,FALSE,FALSE,Round 1
Ian Garry (170) vs. Belal Muhammad (171),1,Ian Garry,"Garry gets away with a slight eye scrape, and after a combination, he pushes off and jams his finger into Muhammadâs right eye socket.",eye scrape,FALSE,TRUE,Round 1
Ian Garry (170) vs. Belal Muhammad (171),2,Ian Garry,"Garry pushes out with both hands, fingers outstretched, and he pokes Muhammad in the eye with at least his left.","fingers outstretched, and he pokes Muhammad in the eye",FALSE,TRUE,Round 2
Nicolas Dalby (170.5) vs. Saygid Izagakhmaev (170),1,Nicolas Dalby,"Dalby grabs the fence to pull himself up to his seat, and he works his way to his feet methodically without taking any noteworthy damage.",grabs the fence,FALSE,FALSE,Round 2
Nurullo Aliev (155) vs. Shaqueme Rock (156),1,Nurullo Aliev,"The two end up clinched, and Alievâs spammed knees to the thigh include one that smacks straight into the cup.",smacks straight into the cup,FALSE,FALSE,Round 3
