,Event,Bout,Foul,Fouler,Foul Index,Context,Pause?,Deduction?
,UFC323-dvalishvili-yan-06-12-2025,Barber vs Silva,Illegal Upkick,Silva,1,"Silva creates a scramble but
inadvertently lands an upkick on the downed Barber. Barber points it out and
Smith calls time. The kick lands to Barber’s chin, but Smith tells her it’s only a
glancing shot. A doctor comes in to examine Barber during the break. Barber
says she’s a little dizzy but she’s ready to go. The action resumes with no point
deduction. ",Yes,No
,UFC323-dvalishvili-yan-06-12-2025,Cejudo vs Talbott,Eye Poke,Talbott,1,"Cejudo gets an
eye poke and time is briefly called. Cejudo can’t quite get the takedown as the
fight resumes.",Yes,No
,UFCVegas-111-bonfim-brown-08-11-2025,McVey vs Reese,Groin Strike,McVey,1,"Reese has some success when under fire, and he gets a bit of unwelcome relief
when McVey drives a knee directly into his cup. Reese groans, and Tognoni
immediately calls time as McVey apologizes. ",Yes,No
,UFCVegas-111-bonfim-brown-08-11-2025,Amil vs Emmers,Groin Strike,Amil,2,"Amil looks for range with his kicks, and
Emmers blasts him with left hand at the same time Amil accidentally kicks him
in the groin. Hatley sees it and calls time, with Emmers taking about 45
seconds to recover before he starts up guns blazing.",Yes,No
,UFCVegas-111-bonfim-brown-08-11-2025,Amil vs Emmers,Fence Grab,Amil,4,"Emmers
knees him in the gut when the two are tied up, and Amil gets away with a fence
grab. ",No,No
,UFCVegas-111-bonfim-brown-08-11-2025,Amil vs Emmers,Groin Strike,Amil,3,"Amil’s front kick brushes the cup before striking the body, and
Hatley signs and calls time. Hatley informs Amil to not commit any more fouls,
and after about 40 seconds, they get back to business. ",Yes,No
,UFCVegas-111-bonfim-brown-08-11-2025,Amil vs Emmers,Fence Grab,Amil,1,"Amil
falls forward and grabs the fence to keep him afloat while scrambling, and
they quickly get back up to continue trading. ",No,No
,UFCVegas-111-bonfim-brown-08-11-2025,Duncan vs Tulio,Fence Grab,Tulio,1,"Tulio squeezes on Duncan against the wire while his fingers are hooked in the
chain links, allowing him to sneakily hold Duncan until Duncan explodes to
turn him around.",No,No
,UFCVegas-111-bonfim-brown-08-11-2025,Bonfim vs Padilla,Back of Head Strike,Padilla,1,"Bonfim tries for a leg lock off his back, and Padilla steps all the way around it and lands several punches to the back of the head.",No,No
,UFCVegas-111-bonfim-brown-08-11-2025,Bonfim vs Brown,Eye Poke,Brown,1,"A calf kick from Bonfim is so
immediately effective that Brown leaps at him with his knee out, hand
extended, and his finger jams in Bonfim’s eye socket. Luckily, Bonfim takes a
few seconds to clear his vision, and they resume and stay generally out of
range until the bell sounds.",Yes,No
