event,bout,bout_key,foul_idx,foul_committed_by,context,foul_type_guess,foul_resulted_in_deduction,referee_paused,round_mentioned,predicted_foul_type,fouler_model
UFC-deridder-allen-18-10-2025,Azamat Bekoev (185) vs. Yousri Belgaroui (185.5),bekoev vs belgaroui,1,Yousri Belgaroui,"Bekoev lunges out with a long left hand to attack for a takedown, and Belgaroui bowls him over and grabs the fence to maintain position.",grabs the fence,FALSE,FALSE,Round 2,fence grab,Belgaroui
UFC-deridder-allen-18-10-2025,Azamat Bekoev (185) vs. Yousri Belgaroui (185.5),bekoev vs belgaroui,2,Yousri Belgaroui,"Belgaroui pulls on the fence to get to his knee, and Bekoev remains pursuant of the single.",pulls on the fence,FALSE,FALSE,Round 1,fence grab,Belgaroui
UFC-deridder-allen-18-10-2025,Danny Barlow (185.5) vs. Djorden Santos (185.5),barlow vs santos,1,Danny Barlow,"Barlow kicks him in the body, and the ricochet of his foot bangs into the cup, but Santos again ignores it.",ricochet of his foot bangs into the cup,FALSE,FALSE,Round 2,groin strike,Barlow
UFC-deridder-allen-18-10-2025,Danny Barlow (185.5) vs. Djorden Santos (185.5),barlow vs santos,2,Danny Barlow,"Barlow steps in with a knee and the foot smacks the cup, and Santos waves off Cooper's intervention.",knee and the foot smacks the cup,FALSE,FALSE,Round 1,groin strike,Barlow
UFC-deridder-allen-18-10-2025,Danny Barlow (185.5) vs. Djorden Santos (185.5),barlow vs santos,3,Danny Barlow,"Santos complains about an eye poke after Barlow's finger slides into the eye, and Cooper gives him time to recover.",eye poke,FALSE,TRUE,Round 2,eye poke,Barlow
UFC-deridder-allen-18-10-2025,Drew Dober (155.5) vs. Kyle Prepolec (155.5),dober vs prepolec,1,Drew Dober,"Dober kicks the thigh, and the leg brushes up against the cup.",brushes up against the cup,FALSE,FALSE,Round 1,groin strike,Dober
UFC-deridder-allen-18-10-2025,Drew Dober (155.5) vs. Kyle Prepolec (155.5),dober vs prepolec,2,Drew Dober,"Dober unleashes a low kick with everything behind it, and it crashes directly into Prepolec's cup.",crashes directly into Prepolec's cup,TRUE,TRUE,Round 3,groin strike,Dober
UFC-deridder-allen-18-10-2025,Hyun Sung Park (126) vs. Bruno Silva (125.5),park vs silva,1,Bruno Silva,"Silva pushes off and a finger scrapes the eye, and Park protests but the foul is not called.",eye poke,FALSE,FALSE,Round 1,eye poke,Silva
UFC-deridder-allen-18-10-2025,Kevin Holland (170.5) vs. Mike Malott (171),holland vs malott,1,Mike Malott,"The welterweights scramble back to their feet, and clashing kicks leads to Malott inadvertently kicking Holland in the groin.",kicking Holland in the groin,FALSE,TRUE,Round 1,groin strike,Malott
UFC-deridder-allen-18-10-2025,Kevin Holland (170.5) vs. Mike Malott (171),holland vs malott,2,Mike Malott,"When they tie up, Malott drills him in the groin with a knee, and Holland is not so jovial about it as he collapses to his knees.",drills him in the groin,FALSE,TRUE,Round 1,groin strike,Malott
UFC-deridder-allen-18-10-2025,Marlon Vera (136) vs. Aiemann Zahabi (135.5),vera vs zahabi,1,Aiemann Zahabi,"Zahabi bounces off the fence and rolls to grab the fence several times to pull himself upright, and Herzog appears to miss the fouls.",rolls to grab the fence,FALSE,FALSE,Round 2,fence grab,Zahabi
UFC-deridder-allen-18-10-2025,Reinier de Ridder (186) vs. Brendan Allen (186),ridder vs allen,1,Reinier de Ridder,"De Ridder flattens Allen out for a second and stars bludgeoning him with punches to the side and back of the head, and Herzog is telling him to knock it off but little more.",punches to the side and back of the head,FALSE,FALSE,Round 1,back of head strike,Ridder
UFC320-ankalaev-pereira-04-10-2025,Daniel Santos (151) vs. Joo Sang Yoo (152.5),santos vs yoo,1,Daniel Santos,"Santos headbutts Yoo in the chest a couple times, and Dean tells him he has to stop doing that.",headbutt,FALSE,FALSE,Round 1,headbutt,Santos
UFC320-ankalaev-pereira-04-10-2025,Farid Basharat (136) vs. Chris Gutierrez (136),basharat vs gutierrez,1,Farid Basharat,"Basharat tries to keep him at bay with a push kick, and he takes a left hand and fires off a body kick that glances the cup.",kick that glances the cup,FALSE,FALSE,Round 3,groin strike,Basharat
UFC320-ankalaev-pereira-04-10-2025,Jiri Prochazka (206) vs. Khalil Rountree (205),prochazka vs rountree,1,Jiri Prochazka,"Prochazka swings a low kick that bangs into the cup, and Rountree ignores it to hurl a left hand that misses the mark.",kick that bangs into the cup,FALSE,FALSE,Round 1,groin strike,Prochazka
UFC320-ankalaev-pereira-04-10-2025,Macy Chiasson (137.5: Missed Weight) vs. Yana Santos (135),chiasson vs santos,1,Macy Chiasson,"Tognoni warns the American for striking the back of the head, so she stops hitting and isolates a rear-naked choke.",back of the head,FALSE,FALSE,Round 3,back of head strike,Chiasson
UFC320-ankalaev-pereira-04-10-2025,"UFC Bantamweight Title Fight:
Merab Dvalishvili (135) vs. Cory Sandhagen (134.5)",dvalishvili vs sandhagen,1,Cory Sandhagen,"Sandhagen's toes are hooked in the fence, to which Goddard warns him to stop doing, and they both fight back to their feet with two minutes to spare.",toes are hooked in the fence,FALSE,FALSE,Round 5,fence grab,Sandhagen
UFCvegas-106-burns-morales-17-05-2025,Dustin Stoltzfus (185.5) vs. Nursulton Ruziboev (185.5),stoltzfus vs ruziboev,1,Nursulton Ruziboev,"Ruziboev counters with a knee to the body, and he smacks Stoltzfus with a hammerfist and inadvertently headbutts him.",headbutt,FALSE,FALSE,Round 2,headbutt,Ruziboev
UFCvegas-106-burns-morales-17-05-2025,Dustin Stoltzfus (185.5) vs. Nursulton Ruziboev (185.5),stoltzfus vs ruziboev,2,Nursulton Ruziboev,"Ruziboev darts in with a jab and a body kick, and Tognoni warns that the kick went south of the border.","kick, and Tognoni warns that the kick went south of the border",FALSE,FALSE,Round 3,groin strike,Ruziboev
UFCvegas-106-burns-morales-17-05-2025,Dustin Stoltzfus (185.5) vs. Nursulton Ruziboev (185.5),stoltzfus vs ruziboev,3,Nursulton Ruziboev,"Ruziboev pulls on the fence to defend it, as Tognoni shouts at him to knock it off.",pulls on the fence,FALSE,FALSE,Round 2,fence grab,Ruziboev
