sid,bout,text,has_foul,ml_prob,pred_foul
1,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),muhammadjon naimov (146) vs.,0,0.0013749116889539745,0
2,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),"mairon santos (147.5: missed weight) betting preview | scouting report | odds: santos (-278), naimov (+225) round 1 jason herzog is the referee.",0,0.0013749116889539745,0
3,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),santos rushes forward with a front kick that naimov evades with ease.,0,0.0013749116889539745,0
4,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),naimov with a hard low kick.,0,0.0013749116889539745,0
5,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),santos answers with a solid leg kick of his own.,0,0.0013749116889539745,0
6,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),both men are deliberate to start.,0,0.0013749116889539745,0
7,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),santos just misses on a head kick.,0,0.0013749116889539745,0
8,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),santos catches a kick and backs his foe into the fence.,0,0.035645775101684034,0
9,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),naimov fires back.,0,0.0013749116889539745,0
10,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),santos counters a low kick and makes naimov stumble momentarily with a straight right.,0,0.0013749116889539745,0
11,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),naimov kicks the body and then has a shot denied.,0,0.0013749116889539745,0
12,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),santos kicks the body.,0,0.0013749116889539745,0
13,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),a high kick by santos slams of naimov's forearm.,0,0.0013749116889539745,0
14,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),naimov shoots and they collide in the clinch.,0,0.0013749116889539745,0
15,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),santos indicates a clash of heads and herzog calls time.,0,0.002006738659845626,0
16,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),it's a brief respite and they resume in the clinch.,0,0.0013749116889539745,0
17,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),"naimov grinds his man into the wire, and santos slaps his back, almost out of annoyance.",0,0.0013749116889539745,0
18,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),"santos is able to turn naimov around briefly, but he loses the advantage.",0,0.0013749116889539745,0
19,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),the featherweights finally separate with about 30 seconds to go and naimov just misses the mark on a spinning wheel kick.,0,0.0013749116889539745,0
20,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),santos fires a jumping switch kick off his foe's arms at the horn.,0,0.0013749116889539745,0
