bout,sid,sentence,has_foul_raw,has_foul,rule_score,rule_conf,rule_reasons_pos,rule_reasons_neg,time_str,round_mentioned,event
Nurullo Aliev (155) vs. Shaqueme Rock (156),43,"The two end up clinched, and Aliev's spammed knees to the thigh include one that smacks straight into the cup.",TRUE,TRUE,100,0.993307149075715,strong_anchor|foul_language|foul_re_hit,NA,NA,Round 3,UFC-tsarukyan-hooker-22-11-2025
Bekzat Almakhan (136) vs. Aleksandre Topuria (135.5),20,"Almakhan's strikes off his back include a few to the back of the head, and Topuria elbows his way into full mount.",TRUE,TRUE,100,0.993307149075715,strong_anchor|foul_language|foul_re_hit,NA,NA,Round 1,UFC-tsarukyan-hooker-22-11-2025
Bekzat Almakhan (136) vs. Aleksandre Topuria (135.5),33,"He swats out a left hand that appears to swipe Almakhan in the eye, and he apologizes with the foul going uncalled.",TRUE,TRUE,100,0.993307149075715,strong_anchor|foul_re_hit,NA,NA,Round 2,UFC-tsarukyan-hooker-22-11-2025
Asu Almabayev (125.5) vs. Alex Perez (126),12,"Movahedi warns him to not smack the Kazakh in the back of the head, and Almabayev spins Perez around but cannot put him down to the floor.",TRUE,TRUE,100,0.993307149075715,strong_anchor|foul_language|foul_re_hit|ref_plus_foul_language,NA,NA,Round 1,UFC-tsarukyan-hooker-22-11-2025
Asu Almabayev (125.5) vs. Alex Perez (126),24,"Perez elbows him in the back of the head a few times, and remains elbowing and not settling until the horn blares.",TRUE,TRUE,100,0.993307149075715,strong_anchor|foul_language|foul_re_hit,NA,NA,Round 1,UFC-tsarukyan-hooker-22-11-2025
Asu Almabayev (125.5) vs. Alex Perez (126),36,"Almabayev elbows him off his back, and several of them bang into the back of Perez' head, drawing a warning.",TRUE,TRUE,100,0.993307149075715,strong_anchor|foul_re_hit,NA,NA,Round 2,UFC-tsarukyan-hooker-22-11-2025
Nicolas Dalby (170.5) vs. Saygid Izagakhmaev (170),23,"Dalby grabs the fence to pull himself up to his seat, and he works his way to his feet methodically without taking any noteworthy damage.",TRUE,TRUE,100,0.993307149075715,strong_anchor|foul_language|foul_re_hit,NA,NA,Round 2,UFC-tsarukyan-hooker-22-11-2025
Bogdan Grad (145.5) vs. Luke Riley (145.5),9,"Riley grabs the fence to stay on his feet, and Grad pulls him away from it to ground him in the open cage away from the wall.",TRUE,TRUE,100,0.993307149075715,strong_anchor|foul_language|foul_re_hit,NA,NA,Round 1,UFC-tsarukyan-hooker-22-11-2025
Ian Garry (170) vs. Belal Muhammad (171),7,"Garry gets away with a slight eye scrape, and after a combination, he pushes off and jams his finger into Muhammad's right eye socket.",TRUE,TRUE,100,0.993307149075715,strong_anchor|foul_language|foul_re_hit,NA,NA,Round 1,UFC-tsarukyan-hooker-22-11-2025
Ian Garry (170) vs. Belal Muhammad (171),37,"Garry pushes out with both hands, fingers outstretched, and he pokes Muhammad in the eye with at least his left.",TRUE,TRUE,100,0.993307149075715,strong_anchor|foul_language|foul_re_hit,NA,NA,Round 2,UFC-tsarukyan-hooker-22-11-2025
