"bout","sid","sentence","has_foul_raw","has_foul","rule_score","rule_conf","rule_reasons_pos","rule_reasons_neg","time_str","round_mentioned","event"
"Adam Fugitt (171) vs. Ty Cole Miller (170)",1,"Adam Fugitt (171) vs.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,NA,"ufc324-gaethje-pimblett-24-01-2026"
"Adam Fugitt (171) vs. Ty Cole Miller (170)",2,"Ty Cole Miller (170) BETTING PREVIEW | SCOUTING REPORT | ODDS: Miller (-370), Fugitt (+265) Round 1 Tempus fugit.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","ufc324-gaethje-pimblett-24-01-2026"
"Adam Fugitt (171) vs. Ty Cole Miller (170)",3,"It has been a good six weeks since the last UFC broadcast, and the first show put on by a major organizationâsorry Oktagon and KSW but you're not there yet, while One Championship has surrendered that status in the MMA gameâsince Rizin's New Year's Eve extravaganza.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","ufc324-gaethje-pimblett-24-01-2026"
"Adam Fugitt (171) vs. Ty Cole Miller (170)",4,"Leading off the UFC's new deal with Paramount is an 11-fight UFC 324 card that we now call a ""numbered event.""",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","ufc324-gaethje-pimblett-24-01-2026"
"Adam Fugitt (171) vs. Ty Cole Miller (170)",5,"Welterweights are the division to lead the UFC's dance with CBS-affiliated properties, as relative divisional veteran Fugitt (10-5, 2-3 UFC) welcomes the unbeaten Miller (6-0, 1 NC; 0-0 UFC) to the promotion.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","ufc324-gaethje-pimblett-24-01-2026"
"Adam Fugitt (171) vs. Ty Cole Miller (170)",6,"The production is a bit confusing, as Fugitt is announced as Miller and Miller is announced as Fugitt, but commentator Joe Rogan and puzzled audiences picked up on it.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","ufc324-gaethje-pimblett-24-01-2026"
"Adam Fugitt (171) vs. Ty Cole Miller (170)",7,"Referee Chris Tognoni takes charge of this bout that will be the answer to an obscure trivia question in a few years, and he stands back to allow the athletes to bump fists. (function (v,i) { let screenWidth = i.innerWidth; if (screenWidth <= 400) { document.getElementById('adViAi').style.display = 'none'; return; } var scp = v.createElement('script'), config = { ChannelID: '0nqr3w5ff', AdUnitType: '2', PublisherID: '256607409443141', PlacementID: 'pltU2JIgmaTXI9XW18z', DivID: '', IAB_Category: 'IAB17', Keywords: '', Language: 'en-us', BG_Color: '', Text_Color: '', Font: '', FontSize: '', }; scp.src='https://s.vi-serve.com/tagLoader.js'; scp.type = 'text/javascript'; scp.async = true; scp.onload = function() { i[btoa('video intelligence start')].init(config); }; (v.getElementsByTagName('head')[0] || v.documentElement.appendChild(v.createElement('head'))).appendChild(scp); })(document, window); Advertisement Jabs are the name of the game to start off the match, as Miller sets up his strikes with a quick, popping jab.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","ufc324-gaethje-pimblett-24-01-2026"
"Adam Fugitt (171) vs. Ty Cole Miller (170)",8,"He plants a solid right hand on the jaw, and is immediately answered by a thumping body kick.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","ufc324-gaethje-pimblett-24-01-2026"
"Adam Fugitt (171) vs. Ty Cole Miller (170)",9,"The two men trade hands in the pocket, with Fugitt's right eye starting to grow a shiner as they stand in alternating stances.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 1","ufc324-gaethje-pimblett-24-01-2026"
"Adam Fugitt (171) vs. Ty Cole Miller (170)",10,"Miller splits the guard with a crisp right hand, forcing Fugitt to tie him up and knee his foe in the guts a few times.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","ufc324-gaethje-pimblett-24-01-2026"
"Adam Fugitt (171) vs. Ty Cole Miller (170)",11,"Miller looks to separate and uses an elbow to frame off, and he avoids a strike on the break.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","ufc324-gaethje-pimblett-24-01-2026"
"Adam Fugitt (171) vs. Ty Cole Miller (170)",12,"Fugitt walks him down to engage in the clinch again, as he liked spamming those knees.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","ufc324-gaethje-pimblett-24-01-2026"
"Adam Fugitt (171) vs. Ty Cole Miller (170)",13,"He gets off a few more, and then gets caught by Miller's fast hands.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","ufc324-gaethje-pimblett-24-01-2026"
"Adam Fugitt (171) vs. Ty Cole Miller (170)",14,"The right hand of Miller finds its home on the jaw again, and Fugitt is starting to swell up from the oncoming fire.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","ufc324-gaethje-pimblett-24-01-2026"
"Adam Fugitt (171) vs. Ty Cole Miller (170)",15,"Miller's one-two is money, as he continues to tee off on Fugitt, who cannot seem to pick up on the counter.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","ufc324-gaethje-pimblett-24-01-2026"
"Adam Fugitt (171) vs. Ty Cole Miller (170)",16,"Fugitt leads the dance with some strikes, but Miller's hands are far more crisp and exceptionally accurate.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","ufc324-gaethje-pimblett-24-01-2026"
"Adam Fugitt (171) vs. Ty Cole Miller (170)",17,"Fugitt stays composed and keeps his guard up, even offering another body kick, and he gets it off and a few more to the body while only taking a couple fists off the forward bow.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","ufc324-gaethje-pimblett-24-01-2026"
"Adam Fugitt (171) vs. Ty Cole Miller (170)",18,"Even though these two are throwing hands at an entertaining clip, the fans in the T-Mobile Arena appear to be bored as they start wooing.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","ufc324-gaethje-pimblett-24-01-2026"
"Adam Fugitt (171) vs. Ty Cole Miller (170)",19,"Fugitt picks things up with a surprise spinning back elbow that shreds open a cut on the forehead of his opponent, with blood immediately trickling down the debutant's face.",FALSE,FALSE,0,0.00669285092428486,"","injury_eye_context|injury_stoppage",NA,"Round 1","ufc324-gaethje-pimblett-24-01-2026"
"Adam Fugitt (171) vs. Ty Cole Miller (170)",20,"He pays it no mind, and jacks Fugitt in the jaw with a right hand that sends him crashing to the canvas.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","ufc324-gaethje-pimblett-24-01-2026"
"Adam Fugitt (171) vs. Ty Cole Miller (170)",21,"Fugitt survives and fights back to his feet, but Miller is walking him down and looking to put him away.Miller continues to lump up Fugitt with devastating right hands, and he bends Fugitt over and delivers a picturesque knee right to his jaw.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","ufc324-gaethje-pimblett-24-01-2026"
