"bout","sid","sentence","has_foul_raw","has_foul","rule_score","rule_conf","rule_reasons_pos","rule_reasons_neg","time_str","round_mentioned","event"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",1,"Cody Brundage (202.5) vs.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,NA,"UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",2,"Eric McConico (204.5) BETTING PREVIEW | SCOUTING REPORT | ODDS: Brundage (-190); McConico (+160) Round 1 Don't look now, but this event taking place tonight at the UFC Apex is the last one scheduled in the building on this year's current lineup.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",3,"There are 37 events in UFC confirmed thus far this year, so five-ish more are not yet on the slate and it is entirely possible that November or December shells up with another Apex show.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",4,"Until then, it's world traveling after Saturday.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",5,"This ESPN showâalso the last one on the official main ESPN slate for a while, as other sports will be kicking in and taking over like the NFL and their new deal with the UFC's current broadcast partner.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",6,"The night beings with a matchup that no one saw coming a week ago.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",7,"Both fighters jumping up to light heavyweight due to the late notice of the pairing, Brundage (11-6-1, 1 NC; 5-5-1, 1 NC UFC) makes a quick turnaround after his loss overturned to a draw against Tuff-N-Uff veteran McConico (9-3-1, 0-1 UFC).",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",8,"These two could really use a win, and they will try to achieve it under the watchful eye of referee Chris Tognoni.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 1","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",9,"They touch gloves to start off the night, and it's on with the show. (function (v,i) { let screenWidth = i.innerWidth; if (screenWidth <= 400) { document.getElementById('adViAi').style.display = 'none'; return; } var scp = v.createElement('script'), config = { ChannelID: '0nqr3w5ff', AdUnitType: '2', PublisherID: '256607409443141', PlacementID: 'pltU2JIgmaTXI9XW18z', DivID: '', IAB_Category: 'IAB17', Keywords: '', Language: 'en-us', BG_Color: '', Text_Color: '', Font: '', FontSize: '', }; scp.src='https://s.vi-serve.com/tagLoader.js'; scp.type = 'text/javascript'; scp.async = true; scp.onload = function() { i[btoa('video intelligence start')].init(config); }; (v.getElementsByTagName('head')[0] || v.documentElement.appendChild(v.createElement('head'))).appendChild(scp); })(document, window); Advertisement McConico starts as the initial aggressor, walking the veteran down and looping a massive left hand at his opponent.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",10,"Brundage throws a kick at the same time, and the booming fist blasts him in the face and sits him down.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",11,"Brundage tries to preserve himself by shooting for a takedown, and McConico stands up and puts his back to the wall while hacking down with elbows.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",12,"Tognoni asks for more activity as this action stalls out, so Brundage transitions to a single-leg takedown.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",13,"McConico keeps his hips wide, and Tognoni splits them up as Brundage fully commits to the single.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",14,"Neither fighter does much for a spell as they measure one another, with McConico coming up short with a front kick and nothing else.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",15,"Brundage charges behind big swings, and McConico is well out of harm's way in time.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",16,"As McConico bears down on his foe, Brundage counters with a double-leg takedown that he uses to tackle the MMA Lab fighter across the cage and down to his seat.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 1","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",17,"Brundage lands on top and laces his legs around McConico's, but McConico is still able to wriggle out and wall-walk to stand.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",18,"Brundage leans on him from behind, imposing his weight and letting McConico turn around so he can score a right hand.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",19,"McConico backs off and blocks a head kick, and he probes out with a jab that draws out a knee.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",20,"Brundage walks through a body kick to fire off his own overhand right, and he gives chase and nails McConico with a few more punches.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",21,"Brundage launches a head kick and follows with a few step-in knees, and he starts feeling himself and lets his hands go, clubbing McConico and making him bounce off the fencing.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 1","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",22,"McConico grips hold of him to ride out the round.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",23,"Sherdog Scores Jay Pettry scores the round: 10-9 McConico Dayne Fox scores the round: 10-9 Brundage Tyler Treese scores the round: 10-9 McConico Round 2 The 205ers typically competing as middleweights touch 'em up to get going, and McConico starts out firing to back Brundage to the wall.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",24,"He rips an elbow or two up top, and Brundage responds with hammerfists to the thigh.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",25,"McConico drives a knee into the gut, and he winds up and blasts Brundage in the midsection again to almost lift him off the ground.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",26,"Brundage lashes out with an elbow that surprises his opponent, and McConico takes a step back and grits his teeth.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",27,"The Oregon native unleashes a flurry of fists and knees, and Brundage bounces back at him with fiery fists that catch McConico on the chin and force him to think twice about this brawl.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",28,"As McConico shakes his head and retreats, Brundage charges after him and takes him to the floor.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",29,"McConico does not stay on his seat for long, working his way to his feet, although as he leans on the cage, Brundage leans on him.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 2","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",30,"Brundage pursues the single above all else, and McConico smacks him with an undercut or two beneath Brundage's elbow.",FALSE,FALSE,0,0.00669285092428486,"","injury_eye_context|injury_stoppage",NA,"Round 2","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",31,"McConico starts spamming elbows to the side of the head when he feels comfortable that he has his balance, and Brundage elevates him slightly to keep threatening.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",32,"Tognoni asks for more, and Brundage chains into a double and clasps his hands together.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",33,"After a prolonged effort, Brundage drags McConico away from the fence and deposits him to his back right on top of the Octagon's central Monster Energy logo.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 2","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",34,"Brundage immediately loops his own legs around McConico's to keep him stuck on the floor, and Tognoni thinks he is not doing enough and asks for more action.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",35,"McConico stands up, and Brundage greets him with a head kick.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",36,"McConico starts stalking his foe down, booting him with his own high kick, digging his shin in the ribs and going upstairs one last time before the round wraps.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",37,"Sherdog Scores Jay Pettry scores the round: 10-9 Brundage Dayne Fox scores the round: 10-9 McConico Tyler Treese scores the round: 10-9 Brundage Round 3 It could be anyone's fight going into the third stanza, and McConico appears to be the fresher fighter and he demonstrates this by immediately marching forward to attack when the last round commences.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",38,"Multiple lead-leg kicks come from McConico, who is able to push Brundage back to the wall but not land much cleanly on him.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",39,"Brundage steps in behind a right hand, and McConico has to reset.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",40,"The MMA Lab fighter cracks his foe with two left hands, and Brundage takes a hard look at the clock or view screen.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFCVegas-109-dolidze-hernandez-09-08-2025"
"Cody Brundage (202.5) vs. Eric McConico (204.5)",41,"McConico engages in the clinch, kneeing the veteran and staying busy enough to not let Brundage counter with a takedown.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFCVegas-109-dolidze-hernandez-09-08-2025"
